user_id,country,gender,continent
580456383.0,None,M,
529371807.0,Brazil,M,South America
418578276.0,United States,M,North America
107157311.0,Iceland,M,Europe
346350882.0,United States,F,North America
401231520.0,None,F,
196229001.0,Italy,M,Europe
652706871.0,Lithuania,M,Europe
135837784.0,United Kingdom,F,Europe
924832087.0,Brazil,F,South America
133473995.0,Brazil,M,South America
686446092.0,None,M,
53447154.0,United States,M,North America
340282920.0,United Kingdom,F,Europe
31808440.0,None,M,
974230707.0,United States,M,North America
706054961.0,Netherlands,F,Europe
835891304.0,United States,M,North America
313634231.0,None,F,
317255940.0,United States,M,North America
123997258.0,Italy,M,Europe
851349896.0,Finland,M,Europe
15549531.0,United States,F,North America
736405367.0,Netherlands,F,Europe
515118505.0,Bosnia and Herzegovina,F,Europe
554771551.0,United States,M,North America
636988270.0,Trinidad and Tobago,F,North America
572944062.0,Germany,M,Europe
863622843.0,Australia,M,Oceania
94138268.0,United Kingdom,F,Europe
180343379.0,None,M,
621710173.0,Chile,M,South America
99508451.0,None,M,
177604946.0,None,M,
718962240.0,United States,F,North America
982848593.0,Turkey,M,Asia
775086500.0,Brazil,F,South America
198302277.0,None,F,
812465924.0,India,M,Asia
144231082.0,Åland Islands,M,Europe
560180467.0,None,F,
500084002.0,Antarctica,M,Antarctica
544327784.0,Portugal,M,Europe
393605483.0,Russian Federation,M,Europe
928340718.0,New Zealand,M,Oceania
394856094.0,Poland,F,Europe
202434183.0,United States,M,North America
437382045.0,None,F,
86279876.0,Brazil,M,South America
685635332.0,Viet Nam,F,Asia
763858990.0,Brazil,M,South America
877608205.0,Brazil,F,South America
535146439.0,Japan,F,Asia
739883053.0,Greece,M,Europe
20565311.0,Brazil,F,South America
744135740.0,None,M,
834352660.0,Brazil,F,South America
875595262.0,Australia,F,Oceania
458629500.0,United States,F,North America
926748741.0,Brazil,M,South America
347845120.0,Netherlands,M,Europe
302953466.0,Brazil,F,South America
825456334.0,None,M,
467012510.0,None,F,
704671268.0,Sweden,M,Europe
993089157.0,United Kingdom,F,Europe
386933579.0,Brazil,F,South America
373231541.0,Brazil,M,South America
623047161.0,United States,M,North America
261375273.0,Spain,F,Europe
442571096.0,None,M,
617892328.0,None,M,
696818016.0,Brazil,F,South America
597983902.0,Brazil,M,South America
61227083.0,Brazil,F,South America
240346933.0,None,M,
658572123.0,Brazil,M,South America
788028660.0,None,F,
203786985.0,Poland,M,Europe
682180414.0,Brazil,F,South America
541649570.0,Brazil,M,South America
854425816.0,None,M,
929673734.0,Canada,F,North America
307199662.0,Spain,M,Europe
548014966.0,Italy,F,Europe
98805094.0,Canada,F,North America
394164186.0,United States,M,North America
20111928.0,Indonesia,F,Asia
75288110.0,Netherlands,M,Europe
228072980.0,United Kingdom,F,Europe
407874828.0,United States,M,North America
911007038.0,United States,F,North America
997728268.0,Brazil,M,South America
350480882.0,United States,M,North America
467276076.0,None,F,
426149416.0,Brazil,M,South America
766166157.0,Brazil,F,South America
746242493.0,Angola,M,Africa
548728918.0,Brazil,F,South America
17517954.0,United States,M,North America
145622721.0,United Kingdom,F,Europe
431614855.0,Serbia,M,Europe
374949395.0,Russian Federation,F,Europe
534879517.0,Brazil,M,South America
764102261.0,Turkey,M,Asia
111388648.0,None,F,
196241151.0,None,M,
288953347.0,None,F,
269822706.0,None,M,
231414824.0,None,F,
848301330.0,None,M,
359765311.0,None,F,
271994801.0,None,F,
910979348.0,Brazil,F,South America
847754591.0,None,M,
249624315.0,None,F,
699193057.0,Netherlands,F,Europe
831815982.0,None,F,
834431773.0,Brazil,M,South America
980606446.0,Maldives,F,Asia
319763772.0,None,M,
729742518.0,Canada,F,North America
473555979.0,None,M,
