track_id,artist_id,duration,styles,category_styles
0,0,167,pop|rock|synthpop,Rock|Pop
1,1,0,pop|rap,Rap/hip-hop|Pop
2,2,194,rock,Rock
3,2,0,sertanejo|rock,Rock|Alternative
4,3,201,synthpop|pop,Pop
5,1,168,pop,Pop
6,4,208,pop|soul,Pop|Soul/funk
7,3,211,synthwave,Electronic/dance
8,3,237,pop|synthpop,Pop
9,5,198,pop|folk,Rock|Pop
10,3,215,synthpop|pop,Pop
11,6,298,rock|pop|downtempo,Rock|Pop|Electronic/dance
12,7,226,folk|sertanejo,Rock|Alternative
13,4,201,pop|soul,Pop|Soul/funk
14,8,0,pop,Pop
15,9,0,soul,Soul/funk
16,9,206,funk|pop|soul,Pop|Soul/funk
17,8,191,pop,Pop
18,4,207,pop,Pop
19,6,210,downtempo|pop,Pop|Electronic/dance
20,10,178,pop,Pop
21,8,198,pop,Pop
22,1,212,trap,Rap/hip-hop
23,9,226,funk|pop,Pop|Soul/funk
24,8,170,synthpop|pop,Pop
25,1,170,rock,Rock
26,11,285,folk,Rock
27,8,193,synthpop,Pop
28,12,257,gospel|soul,Gospel|Soul/funk
29,4,171,pop,Pop
30,13,215,alternative|indie|acoustic,Alternative|Pop
31,2,0,rock,Rock
32,2,0,rock|pop,Rock|Pop
33,9,147,pop|rock,Rock|Pop
34,12,0,rap,Rap/hip-hop
35,14,173,pop,Pop
36,11,296,pop|synthpop,Pop
37,4,171,pop,Pop
38,8,149,pop,Pop
39,8,179,rnb,Blue|Jazz
40,14,0,pop,Pop
41,11,239,folk,Rock
42,15,141,pop|synthpop,Pop
43,8,174,soul,Soul/funk
45,17,0,alternative|rnb,Blue|Alternative|Jazz
46,8,233,pop,Pop
47,8,241,pop,Pop
48,1,138,pop,Pop
49,3,191,soul,Soul/funk
50,9,218,pop,Pop
51,9,210,pop|soul|funk,Pop|Soul/funk
52,18,226,pop,Pop
53,0,341,rock|pop,Rock|Pop
54,19,0,pop,Pop
56,7,186,pop,Pop
57,4,0,soul,Soul/funk
59,21,182,pop,Pop
60,22,270,funk|pop,Pop|Soul/funk
61,14,172,pop|folk,Rock|Pop
62,3,191,pop,Pop
63,23,209,soul,Soul/funk
64,8,198,synthpop,Pop
65,8,212,pop|gospel,Gospel|Pop
66,24,215,pop|electronic,Pop|Electronic/dance
67,14,151,pop,Pop
68,14,214,pop|folk,Rock|Pop
69,4,245,pop|soul,Pop|Soul/funk
70,6,175,downtempo|pop,Pop|Electronic/dance
71,6,221,pop,Pop
72,9,213,pop,Pop
73,7,150,funk,Soul/funk
74,14,211,pop|rock,Rock|Pop
77,8,207,pop,Pop
78,2,0,rock,Rock
79,2,169,rock|pop,Rock|Pop
80,11,0,pop|synthpop,Pop
81,26,227,folk|mpb,Rock|Jazz
83,9,0,funk|soul,Soul/funk
84,28,324,soul|funk,Soul/funk
85,29,0,soul,Soul/funk
86,7,155,rap,Rap/hip-hop
87,14,190,pop,Pop
88,11,0,folk|country,Rock|Country
90,30,202,pop,Pop
91,0,0,pop|rock,Rock|Pop
92,31,280,pop,Pop
93,7,159,pop|rap,Rap/hip-hop|Pop
94,2,223,pop|synthpop|rock,Rock|Pop
95,2,0,pop,Pop
96,14,202,pop,Pop
97,32,271,pop|folk,Rock|Pop
98,33,148,rap|funk,Rap/hip-hop|Soul/funk
99,34,225,pop|soul|funk,Pop|Soul/funk
100,35,557,experimental,Rock
101,36,345,rock|emo|folk,Rock
103,38,0,metal|rock,Heavy metal|Rock
104,35,0,indietronica|synthpop,Pop
105,39,0,pop,Pop
106,38,0,metal,Heavy metal
107,40,0,industrial|rock,Heavy metal|Rock
108,38,0,metal,Heavy metal
109,35,323,experimental,Rock
110,41,222,folk|pop,Rock|Pop
116,44,0,electronic,Electronic/dance
118,44,0,electronic|experimental,Rock|Electronic/dance
119,46,255,metalcore|metal,Heavy metal
121,48,184,latin,Alternative
122,49,326,synthpop|electronic|electronica,Pop|Electronic/dance
123,36,242,folk|rock,Rock
125,50,250,screamo|experimental,Rock
